"Config"	"Rep"	"topology"	"ModelRep"	"repID"	"B"	"Occp.Time"
1	2	"1 2"	1	"1 2 1"	-0.003	4
1	2	"1 2"	1	"1 2 1"	-0.008	5
1	2	"1 2"	1	"1 2 1"	-0.013	6
1	2	"1 2"	1	"1 2 1"	-0.018	8
1	2	"1 2"	1	"1 2 1"	-0.023	6
1	2	"1 2"	1	"1 2 1"	-0.028	8
1	2	"1 2"	1	"1 2 1"	-0.033	6
1	2	"1 2"	1	"1 2 1"	-0.038	11
1	2	"1 2"	1	"1 2 1"	-0.043	9
1	2	"1 2"	1	"1 2 1"	-0.048	17
1	2	"1 2"	1	"1 2 1"	-0.053	9
1	2	"1 2"	1	"1 2 1"	-0.058	16
1	2	"1 2"	1	"1 2 1"	-0.063	12
1	2	"1 2"	1	"1 2 1"	-0.068	21
1	2	"1 2"	1	"1 2 1"	-0.073	19
1	2	"1 2"	1	"1 2 1"	-0.078	26
1	2	"1 2"	2	"1 2 2"	-0.003	4
1	2	"1 2"	2	"1 2 2"	-0.008	7
1	2	"1 2"	2	"1 2 2"	-0.013	5
1	2	"1 2"	2	"1 2 2"	-0.018	8
1	2	"1 2"	2	"1 2 2"	-0.023	12
1	2	"1 2"	2	"1 2 2"	-0.028	8
1	2	"1 2"	2	"1 2 2"	-0.033	9
1	2	"1 2"	2	"1 2 2"	-0.038	13
1	2	"1 2"	2	"1 2 2"	-0.043	21
1	2	"1 2"	2	"1 2 2"	-0.048	16
1	2	"1 2"	2	"1 2 2"	-0.053	12
1	2	"1 2"	2	"1 2 2"	-0.058	20
1	2	"1 2"	2	"1 2 2"	-0.063	16
1	2	"1 2"	2	"1 2 2"	-0.068	12
1	2	"1 2"	2	"1 2 2"	-0.073	10
1	2	"1 2"	2	"1 2 2"	-0.078	20
1	2	"1 2"	3	"1 2 3"	-0.003	4
1	2	"1 2"	3	"1 2 3"	-0.008	6
1	2	"1 2"	3	"1 2 3"	-0.013	5
1	2	"1 2"	3	"1 2 3"	-0.018	6
1	2	"1 2"	3	"1 2 3"	-0.023	8
1	2	"1 2"	3	"1 2 3"	-0.028	7
1	2	"1 2"	3	"1 2 3"	-0.033	9
1	2	"1 2"	3	"1 2 3"	-0.038	11
1	2	"1 2"	3	"1 2 3"	-0.043	12
1	2	"1 2"	3	"1 2 3"	-0.048	15
1	2	"1 2"	3	"1 2 3"	-0.053	17
1	2	"1 2"	3	"1 2 3"	-0.058	19
1	2	"1 2"	3	"1 2 3"	-0.063	12
1	2	"1 2"	3	"1 2 3"	-0.068	13
1	2	"1 2"	3	"1 2 3"	-0.073	16
1	2	"1 2"	3	"1 2 3"	-0.078	24
1	2	"1 2"	4	"1 2 4"	-0.003	4
1	2	"1 2"	4	"1 2 4"	-0.008	4
1	2	"1 2"	4	"1 2 4"	-0.013	6
1	2	"1 2"	4	"1 2 4"	-0.018	5
1	2	"1 2"	4	"1 2 4"	-0.023	11
1	2	"1 2"	4	"1 2 4"	-0.028	11
1	2	"1 2"	4	"1 2 4"	-0.033	7
1	2	"1 2"	4	"1 2 4"	-0.038	13
1	2	"1 2"	4	"1 2 4"	-0.043	9
1	2	"1 2"	4	"1 2 4"	-0.048	17
1	2	"1 2"	4	"1 2 4"	-0.053	18
1	2	"1 2"	4	"1 2 4"	-0.058	15
1	2	"1 2"	4	"1 2 4"	-0.063	13
1	2	"1 2"	4	"1 2 4"	-0.068	26
1	2	"1 2"	4	"1 2 4"	-0.073	14
1	2	"1 2"	4	"1 2 4"	-0.078	19
1	2	"1 2"	5	"1 2 5"	-0.003	4
1	2	"1 2"	5	"1 2 5"	-0.008	6
1	2	"1 2"	5	"1 2 5"	-0.013	6
1	2	"1 2"	5	"1 2 5"	-0.018	6
1	2	"1 2"	5	"1 2 5"	-0.023	9
1	2	"1 2"	5	"1 2 5"	-0.028	10
1	2	"1 2"	5	"1 2 5"	-0.033	11
1	2	"1 2"	5	"1 2 5"	-0.038	11
1	2	"1 2"	5	"1 2 5"	-0.043	17
1	2	"1 2"	5	"1 2 5"	-0.048	11
1	2	"1 2"	5	"1 2 5"	-0.053	18
1	2	"1 2"	5	"1 2 5"	-0.058	19
1	2	"1 2"	5	"1 2 5"	-0.063	15
1	2	"1 2"	5	"1 2 5"	-0.068	9
1	2	"1 2"	5	"1 2 5"	-0.073	16
1	2	"1 2"	5	"1 2 5"	-0.078	14
1	2	"1 2"	6	"1 2 6"	-0.003	4
1	2	"1 2"	6	"1 2 6"	-0.008	4
1	2	"1 2"	6	"1 2 6"	-0.013	9
1	2	"1 2"	6	"1 2 6"	-0.018	9
1	2	"1 2"	6	"1 2 6"	-0.023	4
1	2	"1 2"	6	"1 2 6"	-0.028	7
1	2	"1 2"	6	"1 2 6"	-0.033	6
1	2	"1 2"	6	"1 2 6"	-0.038	10
1	2	"1 2"	6	"1 2 6"	-0.043	12
1	2	"1 2"	6	"1 2 6"	-0.048	17
1	2	"1 2"	6	"1 2 6"	-0.053	16
1	2	"1 2"	6	"1 2 6"	-0.058	23
1	2	"1 2"	6	"1 2 6"	-0.063	16
1	2	"1 2"	6	"1 2 6"	-0.068	14
1	2	"1 2"	6	"1 2 6"	-0.073	18
1	2	"1 2"	6	"1 2 6"	-0.078	22
1	2	"1 2"	7	"1 2 7"	-0.003	4
1	2	"1 2"	7	"1 2 7"	-0.008	5
1	2	"1 2"	7	"1 2 7"	-0.013	5
1	2	"1 2"	7	"1 2 7"	-0.018	7
1	2	"1 2"	7	"1 2 7"	-0.023	7
1	2	"1 2"	7	"1 2 7"	-0.028	8
1	2	"1 2"	7	"1 2 7"	-0.033	9
1	2	"1 2"	7	"1 2 7"	-0.038	12
1	2	"1 2"	7	"1 2 7"	-0.043	15
1	2	"1 2"	7	"1 2 7"	-0.048	13
1	2	"1 2"	7	"1 2 7"	-0.053	18
1	2	"1 2"	7	"1 2 7"	-0.058	9
1	2	"1 2"	7	"1 2 7"	-0.063	14
1	2	"1 2"	7	"1 2 7"	-0.068	16
1	2	"1 2"	7	"1 2 7"	-0.073	19
1	2	"1 2"	7	"1 2 7"	-0.078	14
1	2	"1 2"	8	"1 2 8"	-0.003	4
1	2	"1 2"	8	"1 2 8"	-0.008	5
1	2	"1 2"	8	"1 2 8"	-0.013	4
1	2	"1 2"	8	"1 2 8"	-0.018	7
1	2	"1 2"	8	"1 2 8"	-0.023	13
1	2	"1 2"	8	"1 2 8"	-0.028	10
1	2	"1 2"	8	"1 2 8"	-0.033	10
1	2	"1 2"	8	"1 2 8"	-0.038	19
1	2	"1 2"	8	"1 2 8"	-0.043	16
