Config	Rep	AlgebraicConnectivity_Binary	AlgebraicConnectivity_Weighted	NetworkDiameter_Binary	NetworkDiameter_Weighted
1	2	0.039	0.040802729	3	75
1	3	0.039	0.040802729	3	75
1	4	0.039	0.040802729	3	75
1	5	0.039	0.040802729	3	75
1	6	0.039	0.040802729	3	75
1	7	0.039	0.040802729	3	75
1	8	0.039	0.040802729	3	75
1	9	0.039	0.040802729	3	75
2	2	0.04	0.015895913	2	105
2	3	0.039	0.038947478	3	75
2	4	0.0395	0.015478492	3	105
2	5	0.0373	0.015524397	3	105
2	6	0.0397	0.015946992	3	105
2	7	0.0459	0.009084687	3	135
2	8	0.0395	0.008229022	3	135
2	9	0.0395	0.008826882	3	135
3	2	0.0478	0.000833872	3	300
3	3	0.0375	0.000666964	3	335
3	4	0.0425	0.00058145	2	315
3	5	0.0481	0.00096444	3	300
3	6	0.0521	0.000818947	2	250
3	7	0.0386	0.000746967	2	300
3	8	0.0514	0.000833086	2	275
3	9	0.0395	0.000830867	3	250
