"Config"	"Rep"	"node"	"distToSource"	"degree"
3	1	1	390	4
3	1	2	235	4
3	1	3	155	5
3	1	4	360	4
3	1	5	0	3
3	1	6	360	3
3	1	7	155	4
3	1	8	205	5
3	1	9	285	5
3	1	10	360	3
3	2	1	335	4
3	2	2	315	4
3	2	3	285	3
3	2	4	235	3
3	2	5	0	5
3	2	6	80	4
3	2	7	155	5
3	2	8	205	4
3	2	9	235	4
3	2	10	255	4
3	3	1	235	3
3	3	2	235	5
3	3	3	160	4
3	3	4	80	5
3	3	5	0	4
3	3	6	80	4
3	3	7	160	4
3	3	8	410	3
3	3	9	335	4
3	3	10	255	4
3	4	1	235	3
3	4	2	440	3
3	4	3	460	4
3	4	4	80	3
3	4	5	0	4
3	4	6	440	4
3	4	7	285	4
3	4	8	315	6
3	4	9	235	5
3	4	10	255	4
3	5	1	235	4
3	5	2	235	5
3	5	3	390	4
3	5	4	80	3
3	5	5	0	5
3	5	6	235	4
3	5	7	155	4
3	5	8	205	4
3	5	9	235	4
3	5	10	390	3
3	6	1	235	4
3	6	2	235	4
3	6	3	155	4
3	6	4	360	3
3	6	5	0	4
3	6	6	235	4
3	6	7	155	4
3	6	8	390	4
3	6	9	235	5
3	6	10	315	4
3	7	1	285	3
3	7	2	235	5
3	7	3	155	4
3	7	4	80	5
3	7	5	0	5
3	7	6	80	4
3	7	7	285	2
3	7	8	205	3
3	7	9	235	5
3	7	10	315	4
3	8	1	235	5
3	8	2	205	4
3	8	3	155	4
3	8	4	235	4
3	8	5	0	4
3	8	6	80	4
3	8	7	390	3
3	8	8	440	3
3	8	9	285	4
3	8	10	315	5
3	9	1	235	4
3	9	2	235	4
3	9	3	155	5
3	9	4	80	6
3	9	5	0	4
3	9	6	80	4
3	9	7	285	2
3	9	8	235	3
3	9	9	335	3
3	9	10	315	5
2	1	1	315	3
2	1	2	235	4
2	1	3	155	4
2	1	4	80	4
2	1	5	0	4
2	1	6	80	4
2	1	7	155	5
2	1	8	235	4
2	1	9	310	4
2	1	10	360	4
2	2	1	310	4
2	2	2	235	4
2	2	3	155	5
2	2	4	80	4
2	2	5	0	3
2	2	6	80	5
2	2	7	160	4
2	2	8	235	3
2	2	9	285	4
2	2	10	360	4
2	3	1	310	4
2	3	2	235	4
2	3	3	155	4
2	3	4	80	4
2	3	5	0	4
2	3	6	80	4
2	3	7	160	4
2	3	8	235	4
2	3	9	235	4
2	3	10	315	4
2	4	1	310	4
2	4	2	235	4
2	4	3	155	3
2	4	4	80	4
2	4	5	0	4
2	4	6	80	5
2	4	7	155	4
2	4	8	235	3
2	4	9	310	5
2	4	10	315	4
2	5	1	285	5
2	5	2	205	4
2	5	3	155	3
2	5	4	235	4
2	5	5	0	4
2	5	6	80	4
2	5	7	155	4
2	5	8	235	3
2	5	9	310	5
2	5	10	360	4
2	6	1	310	4
2	6	2	235	4
2	6	3	155	4
2	6	4	80	3
2	6	5	0	4
2	6	6	80	5
2	6	7	160	3
2	6	8	235	4
2	6	9	235	5
2	6	10	315	4
2	7	1	315	4
2	7	2	235	3
2	7	3	160	4
2	7	4	80	4
2	7	5	0	4
2	7	6	80	4
2	7	7	155	5
2	7	8	235	4
2	7	9	235	4
2	7	10	315	4
2	8	1	310	5
2	8	2	235	4
2	8	3	155	4
2	8	4	80	5
2	8	5	0	4
2	8	6	80	4
2	8	7	155	4
2	8	8	235	3
2	8	9	310	3
2	8	10	390	4
2	9	1	310	4
2	9	2	235	5
2	9	3	155	4
2	9	4	80	4
2	9	5	0	4
2	9	6	80	5
2	9	7	155	4
2	9	8	235	4
2	9	9	285	3
2	9	10	390	3
1	1	1	310	4
1	1	2	235	4
1	1	3	155	4
1	1	4	80	4
1	1	5	0	4
1	1	6	80	4
1	1	7	155	4
1	1	8	235	4
1	1	9	310	4
1	1	10	390	4
1	2	1	310	4
1	2	2	235	4
1	2	3	155	4
1	2	4	80	4
1	2	5	0	4
1	2	6	80	4
1	2	7	155	4
1	2	8	235	4
1	2	9	310	4
1	2	10	390	4
1	3	1	310	4
1	3	2	235	4
1	3	3	155	4
1	3	4	80	4
1	3	5	0	4
1	3	6	80	4
1	3	7	155	4
1	3	8	235	4
1	3	9	310	4
1	3	10	390	4
1	4	1	310	4
1	4	2	235	4
1	4	3	155	4
1	4	4	80	4
1	4	5	0	4
1	4	6	80	4
1	4	7	155	4
1	4	8	235	4
1	4	9	310	4
1	4	10	390	4
1	5	1	310	4
1	5	2	235	4
1	5	3	155	4
1	5	4	80	4
1	5	5	0	4
1	5	6	80	4
1	5	7	155	4
1	5	8	235	4
1	5	9	310	4
1	5	10	390	4
1	6	1	310	4
1	6	2	235	4
1	6	3	155	4
1	6	4	80	4
1	6	5	0	4
1	6	6	80	4
1	6	7	155	4
1	6	8	235	4
1	6	9	310	4
1	6	10	390	4
1	7	1	310	4
1	7	2	235	4
1	7	3	155	4
1	7	4	80	4
1	7	5	0	4
1	7	6	80	4
1	7	7	155	4
1	7	8	235	4
1	7	9	310	4
1	7	10	390	4
1	8	1	310	4
1	8	2	235	4
1	8	3	155	4
1	8	4	80	4
1	8	5	0	4
1	8	6	80	4
1	8	7	155	4
1	8	8	235	4
1	8	9	310	4
1	8	10	390	4
1	9	1	310	4
1	9	2	235	4
1	9	3	155	4
1	9	4	80	4
1	9	5	0	4
1	9	6	80	4
1	9	7	155	4
1	9	8	235	4
1	9	9	310	4
1	9	10	390	4
